Name,Train_test,SMILES,Solvent,Type,N,sol_PCA1,sol_PCA2,sol_PCA3,sol_PCA4,sol_PCA5,N_HOMO,N_LUMO,N_DM,N_EB,N_EA_H,N_EA_nonH,N_TCA,N_BAD,N_fukui,N_fukui_Li,N_fukui_charge,N_HOMO_PM6,N_LUMO_PM6,N_DM_PM6,N_EB_PM6,N_EA_H_PM6,N_EA_nonH_PM6
molecule_100,Train,C1=CC=CN1,dichloromethane,C-Pi,4.63,-0.7,-6.5,-1.3,1.3,2,-0.26183,0.08383,2.0481,-0.57877,0.41932,-0.04629,206.5125615,75.58506515,-0.200235289,-0.118117,-0.100042,-0.3269,0.04223,2.1714,-0.20676,0.253246,-0.150855
molecule_1000,Train,C[SiH](C)C[Ge](C)(C)C,dichloromethane,H-Donor,5.36,-0.7,-6.5,-1.3,1.3,2,-0.32171,0.07275,0.5446,-1.46277,0.26955,1.79409,161.0974424,81.59280808,-0.098325068,-0.023207,-0.089112,-0.3108,0.03775,1.5303,-0.711361,0.187284,0.685031
molecule_1001,Train,C[SiH](C)C[Sn](C)(C)C,dichloromethane,H-Donor,6.53,-0.7,-6.5,-1.3,1.3,2,-0.30931,0.06451,0.5798,-1.49156,0.26497,1.97108,226.3806527,86.4659681,-0.141657361,-0.027484,-0.08953,-0.33755,0.01284,2.7021,-0.860306,0.201992,1.351873
molecule_1002,Train,C[SiH](C[Si](C)(C)C)C[Si](C)(C)C,dichloromethane,H-Donor,4.91,-0.7,-6.5,-1.3,1.3,2,-0.31401,0.07326,0.6153,-1.46997,0.2733,1.79752,231.8870145,88.98918454,-0.052735554,-0.044872,-0.089476,-0.32896,0.06148,5.8435,-0.705333,0.191735,0.567199
molecule_1003,Train,C[Si](C)(C)C[SiH](C[Si](C)(C)C)C[Si](C)(C)C,dichloromethane,H-Donor,3.59,-0.7,-6.5,-1.3,1.3,2,-0.31323,0.066,0.5361,-1.47643,0.28039,1.79541,220.2486339,87.2535229,-0.095093099,-0.024268,-0.091775,-0.32525,0.06571,0.9336,-0.671756,0.198174,0.570319
molecule_1004,Test,CCCC[Si](C)(C)C[SiH](C[Si](C)(C)CCCC)C[Si](C)(C)CCCC,dichloromethane,H-Donor,3.73,-0.7,-6.5,-1.3,1.3,2,-0.30583,0.06683,0.5462,-1.47444,0.28086,1.81795,220.9202055,87.09515514,-0.071515414,-0.01882,-0.092035,-0.32591,0.06157,3.5491,-0.677827,0.199216,0.558438
molecule_1005,Test,C[Si](C)(C[SiH](C[Si](C)(C)c1ccccc1)C[Si](C)(C)c2ccccc2)c3ccccc3,dichloromethane,H-Donor,3.4,-0.7,-6.5,-1.3,1.3,2,-0.29492,0.01534,0.478,-1.47294,0.2828,1.81435,232.9660427,88.2077923,-0.055717148,-0.011982,-0.091468,-0.32668,0.01639,6.9139,-0.680814,0.203671,0.569436
molecule_1006,Train,C1C=CC=CC=C1,acetonitrile,H-Donor,0.55,-4.7,-4.7,-3.3,-0.3,4.3,-0.27247,-0.00093,0.2984,-0.50864,0.24133,-0.16871,158.9685023,49.53759689,-0.117559153,-0.038452,0.041307,-0.32654,0.0104,0.3683,-0.280982,0.160527,-0.107314
molecule_1007,Train,C1C=CCC=C1,acetonitrile,H-Donor,0.35,-4.7,-4.7,-3.3,-0.3,4.3,-0.28479,0.05452,0.0001,-0.4925,0.23908,-0.21195,109.6687794,45.81055576,-0.104600184,-0.071346,0.041249,-0.3351,0.05015,0.0001,-0.259662,0.147219,-0.151908
molecule_1008,Train,C1COCO1,dichloromethane,H-Donor,-2.86,-0.7,-6.5,-1.3,1.3,2,-0.33442,0.09446,1.5508,-0.61798,0.20764,0.29189,26.48651249,39.72976873,-0.189374935,-0.081658,0.057798,-0.36702,0.05498,1.8155,-0.467654,0.148271,0.219529
molecule_1009,Train,CCCC1OCCO1,dichloromethane,H-Donor,-1.06,-0.7,-6.5,-1.3,1.3,2,-0.32354,0.0992,1.2773,-0.63531,0.23186,0.46999,129.1753087,63.74054451,-0.260391406,-0.105898,0.024495,-0.3643,0.05985,1.8591,-0.486116,0.164889,0.390199
molecule_101,Train,O,water,O-Nucleophile,5.2,-17.1,-8.8,5.6,0.1,0.6,-0.37668,0.08893,2.0546,-0.89983,0.44992,-0.89983,53.52128595,40.14096447,-0.664754722,-0.666739,-0.34071,-0.43747,0.14935,2.0679,-0.618713,0.309357,-0.618713
molecule_1010,Train,C1COC(O1)c2ccccc2,dichloromethane,H-Donor,-0.9,-0.7,-6.5,-1.3,1.3,2,-0.30576,0.02078,1.6682,-0.62249,0.24295,0.46432,98.87493775,54.21611235,-0.139974734,-0.020118,0.05602,-0.35514,0.00576,1.9726,-0.470962,0.159979,0.368507
molecule_1011,Test,NC(=O)C1=CN(Cc2ccccc2)C=CC1,acetonitrile,H-Donor,9.8,-4.7,-4.7,-3.3,-0.3,4.3,-0.23808,0.00711,3.3566,-0.86277,0.40774,0.7231,179.1419265,66.89550885,-0.114748974,-0.02766,0.04684,-0.30076,-0.00242,4.0641,-0.602897,0.273411,0.636894
molecule_1015,Train,CN1c2ccccc2Cc3ccccc13,dichloromethane,H-Donor,5.54,-0.7,-6.5,-1.3,1.3,2,-0.23874,0.02203,0.9583,-0.49796,0.24479,0.19742,166.7842525,68.72629825,-0.11961869,-0.02985,0.042846,-0.28675,0.0052,0.9843,-0.295951,0.161728,0.206505
molecule_1016,Train,CCCC[Sn](CCCC)(CCCC)CCCC,dichloromethane,H-Donor,-0.3,-0.7,-6.5,-1.3,1.3,2,-0.29632,0.06292,0,-0.96172,0.23258,2.02937,205.4523668,112.0801877,-0.102659815,-0.031716,0.03438,-0.34837,0.03745,0,-0.610759,0.15308,1.098749
