Name,Train_test,SMILES,Solvent,Type,N,sol_PCA1,sol_PCA2,sol_PCA3,sol_PCA4,sol_PCA5,NS_HOMO,NS_LUMO,NS_DM,NS_EB,NS_EA_H,NS_EA_nonH,NS_DeltaG,N_TCA,N_BAD,N_fukui,N_fukui_Li,N_fukui_charge,NS_HOMO_PM6,NS_LUMO_PM6,NS_DM_PM6,NS_EB_PM6,NS_EA_H_PM6,NS_EA_nonH_PM6,NS_DeltaG_PM6
molecule_100,Train,C1=CC=CN1,dichloromethane,C-Pi,4.63,-0.7,-6.5,-1.3,1.3,2,-0.26748,0.07968,2.5524,-0.57527,0.43808,-0.05069,-0.005612,206.5125615,75.58506515,-0.200235289,-0.118117,-0.100042,-0.33313,0.03772,2.7463,-0.234054,0.274257,-0.145457,-0.00491
molecule_1000,Train,C[SiH](C)C[Ge](C)(C)C,dichloromethane,H-Donor,5.36,-0.7,-6.5,-1.3,1.3,2,-0.32014,0.07531,0.7686,-1.46527,0.2714,1.7988,-0.002003,161.0974424,81.59280808,-0.098325068,-0.023207,-0.089112,-0.31124,0.02156,2.6115,-0.711138,0.187568,0.722877,-0.000661
molecule_1001,Train,C[SiH](C)C[Sn](C)(C)C,dichloromethane,H-Donor,6.53,-0.7,-6.5,-1.3,1.3,2,-0.30687,0.06772,0.8398,-1.49431,0.26645,1.98235,-0.000316,226.3806527,86.4659681,-0.141657361,-0.027484,-0.08953,-0.34044,0.0129,2.7197,-0.867382,0.20487,1.36951,-0.003544
molecule_1002,Train,C[SiH](C[Si](C)(C)C)C[Si](C)(C)C,dichloromethane,H-Donor,4.91,-0.7,-6.5,-1.3,1.3,2,-0.31245,0.07578,0.8811,-1.4725,0.27562,1.80087,-0.002856,231.8870145,88.98918454,-0.052735554,-0.044872,-0.089476,-0.33349,0.05641,6.4442,-0.70918,0.198565,0.558512,-0.004481
molecule_1003,Train,C[Si](C)(C)C[SiH](C[Si](C)(C)C)C[Si](C)(C)C,dichloromethane,H-Donor,3.59,-0.7,-6.5,-1.3,1.3,2,-0.312,0.06837,0.793,-1.47791,0.28083,1.79804,-0.002893,220.2486339,87.2535229,-0.095093099,-0.024268,-0.091775,-0.32919,0.06172,1.3409,-0.673626,0.201896,0.564906,-0.005658
molecule_1004,Test,CCCC[Si](C)(C)C[SiH](C[Si](C)(C)CCCC)C[Si](C)(C)CCCC,dichloromethane,H-Donor,3.73,-0.7,-6.5,-1.3,1.3,2,-0.30461,0.06901,0.7948,-1.47581,0.28132,1.81979,-0.003512,220.9202055,87.09515514,-0.071515414,-0.01882,-0.092035,-0.32819,0.05973,3.9022,-0.680126,0.203291,0.554673,-0.005259
molecule_1005,Test,C[Si](C)(C[SiH](C[Si](C)(C)c1ccccc1)C[Si](C)(C)c2ccccc2)c3ccccc3,dichloromethane,H-Donor,3.4,-0.7,-6.5,-1.3,1.3,2,-0.29707,0.01274,0.507,-1.47407,0.28337,1.81529,-0.010919,232.9660427,88.2077923,-0.055717148,-0.011982,-0.091468,-0.32949,0.01105,6.9111,-0.68586,0.207505,0.565869,-0.00625
molecule_1006,Train,C1C=CC=CC=C1,acetonitrile,H-Donor,0.55,-4.7,-4.7,-3.3,-0.3,4.3,-0.27649,-0.00537,0.4314,-0.51056,0.24575,-0.17175,-0.002978,158.9685023,49.53759689,-0.117559153,-0.038452,0.041307,-0.33233,0.00294,0.5521,-0.291255,0.162109,-0.103892,-0.002631
molecule_1007,Train,C1C=CCC=C1,acetonitrile,H-Donor,0.35,-4.7,-4.7,-3.3,-0.3,4.3,-0.28745,0.05072,0.0001,-0.49639,0.24369,-0.21952,-0.002298,109.6687794,45.81055576,-0.104600184,-0.071346,0.041249,-0.3413,0.04242,0.0001,-0.269355,0.154084,-0.16124,-0.002615
molecule_1008,Train,C1COCO1,dichloromethane,H-Donor,-2.86,-0.7,-6.5,-1.3,1.3,2,-0.33684,0.10049,1.8933,-0.63203,0.21207,0.28879,-0.004635,26.48651249,39.72976873,-0.189374935,-0.081658,0.057798,-0.37739,0.05004,2.1835,-0.496504,0.155427,0.21939,-0.006494
